widget_type	stateless	stateful	source	zero_size	minimal	clipped	resize	state_transition	snapshot	toolkit	semantics	keyboard	pointer
Wicked.Stepper	false	true	src/UtilityWidgets.jl	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics	test/new_widget_families.jl:stepper toolkit semantics
Wicked.SyntaxView	true	true	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics
Wicked.TabView	true	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics	test/new_widget_families.jl:navigation view toolkit semantics
Wicked.TabbedContentView	false	true	src/ContentContainerRendering.jl	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:tabbed content keyboard and pointer selection	test/widget_contracts.jl:Immediate widget dimension contracts	test/widget_interactions_extended.jl:Tabbed content semantic integration	test/widget_interactions_extended.jl:Tabbed content semantic integration	test/widget_interactions_extended.jl:tabbed content keyboard and pointer selection	test/widget_interactions_extended.jl:tabbed content keyboard and pointer selection
Wicked.TaskMonitor	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.TerminalView	true	true	src/StreamingWidgets.jl	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	test/new_widget_families.jl:streaming toolkit semantics	n/a:no pointer handler
Wicked.ThemePreview	true	true	src/MediaWidgets.jl	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	test/new_widget_families.jl:media toolkit semantics	n/a:no pointer handler
Wicked.TimeInput	false	true	src/AcceptanceWidgets.jl	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics	test/new_widget_families.jl:date and time input toolkit semantics
Wicked.Timeline	true	true	src/VisualizationWidgets.jl	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics	test/new_widget_families.jl:data, editing, and timeline toolkit semantics
Wicked.Toast	true	false	src/AcceptanceWidgets.jl	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render contract	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	test/new_widget_families.jl:composition widget toolkit semantics	n/a:stateless render-only contract	n/a:stateless render-only contract
